package,count
coin,58466
maxLik,58374
gdata,58364
hexbin,58247
statmod,57882
spatstat.geom,57242
pcaPP,57241
parsnip,57227
fastmatch,57102
mitools,56243
stargazer,56084
StanHeaders,56054
spatstat.utils,55669
extrafont,55551
lavaan,55456
config,55084
yardstick,55082
shinyWidgets,54899
fontquiver,54860
plumber,54322
packrat,54262
permute,54060
gfonts,53673
fontLiberation,53501
gmp,53421
fontBitstreamVera,53322
loo,53307
moments,53145
rootSolve,52892
tune,52736
Cairo,52169
distributional,51924
RPostgres,51782
git2r,51741
gld,51599
ade4,51258
zeallot,50996
lobstr,50984
combinat,50460
lmom,50384
shinydashboard,49882
fitdistrplus,49843
bookdown,49713
ggtext,49664
ggfortify,49628
stars,49206
rlist,49193
Rttf2pt1,49116
flextable,48846
juicyjuice,48799
rsconnect,48774
distro,48683
Exact,48571
inline,48452
leaflet.providers,47956
effectsize,47922
spatial,47756
spatstat.random,47630
lhs,47558
workflows,47030
lmerTest,47009
pkgcache,46980
spatstat.data,46940
NLP,46517
sqldf,46494
dials,46456
aws.s3,46274
workflowsets,46183
RPostgreSQL,45957
pkgdepends,45873
gmodels,45690
wordcloud,45037
downloader,45022
questionr,44881
lwgeom,44493
nycflights13,44430
modeldata,44363
goftest,44269
registry,44181
clue,44172
dygraphs,43950
infer,43800
janeaustenr,43675
RcppRoll,43633
skimr,43555
getopt,43494
spatstat.explore,43458
spatstat.sparse,43385
TSP,43368
tokenizers,43224
tictoc,43216
tensorflow,43163
ca,43150
Rmpfr,43048
strucchange,43043
pkgsearch,43041
truncnorm,42994
rstantools,42684
bigD,42565
rapidjsonr,42387
swagger,42181
sjlabelled,41939
timeSeries,41909
palmerpenguins,41668
webutils,41645
misc3d,41585
fabletools,41426
modelenv,41272
corpcor,41019
extrafontdb,40815
plot3D,40810
fBasics,40386
pixmap,40335
DiceDesign,40010
arm,39976
klaR,39792
seriation,39775
pheatmap,39713
spam,39686
VGAM,39625
mlbench,39588
irlba,39534
GPfit,39402
PerformanceAnalytics,39294
stringdist,39196
AER,38684
arulesViz,38451
microbenchmark,38109
gss,37971
MatchIt,37768
r5r,37678
sfheaders,37518
ks,37509
NMF,37434
fields,37319
clisymbols,37229
sjPlot,37117
pbivnorm,37029
segmented,36893
pak,36887
Rtsne,36851
arules,36556
effects,36461
TMB,36376
yulab.utils,36369
colourpicker,36206
gapminder,36184
whoami,36148
RJSONIO,36137
GetoptLong,36031
mapproj,35995
ggeffects,35994
stabledist,35903
geometries,35841
gclus,35772
bayesplot,35435
visdat,35407
shinythemes,35134
scatterpie,35014
